word,pol
abrisse a alma,1
abrisse o coração,1
abrisse os olhos,1
abrísseis a alma,1
abrísseis o coração,1
abrísseis os olhos,1
abrissem a alma,1
abrissem o coração,1
abrissem os olhos,1
abríssemos a alma,1
abríssemos o coração,1
abríssemos os olhos,1
abrisses a alma,1
abrisses o coração,1
abrisses os olhos,1
abriste a alma,1
abriste o coração,1
abriste os olhos,1
abristes a alma,1
abristes o coração,1
abristes os olhos,1
abriu a alma,1
abriu o coração,1
abriu os olhos,1
abro a alma,1
abro o coração,1
abro os olhos,1
abrupta,-1
abruptas,-1
abrupto,-1
abruptos,-1
abrutalhada,-1
abrutalhadas,-1
abrutalhado,-1
abrutalhados,-1
absentista,-1
absentistas,-1
absoluta,0
absolutas,0
absolutista,0
absolutistas,0
absoluto,0
absolutos,0
absolvida,0
absolvidas,0
absolvido,0
absolvidos,0
absorvente,1
absorventes,1
abstémia,1
abstémias,1
abstémica,1
abstémicas,1
abstémico,1
abstémicos,1
abstémio,1
abstémios,1
abstencionista,0
abstencionistas,0
abstinente,0
abstinentes,0
abstracta,-1
abstractas,-1
abstracto,-1
abstractos,-1
abstraída,-1
abstraídas,-1
abstraído,-1
abstraídos,-1
abstrata,-1
abstratas,-1
abstrato,-1
abstratos,-1
abstrusa,-1
abstrusas,-1
abstrusidade,-1
abstruso,-1
abstrusos,-1
absurda,-1
absurdas,-1
absurdo,-1
absurdos,-1
abulia,-1
abúlica,-1
abúlicas,-1
abúlico,-1
abúlicos,-1
aburguesada,0
aburguesadas,0
aburguesado,0
aburguesados,0
abusa,-1
abusá,-1
abusada,-1
abusadas,-1
abusado,-1
abusador,-1
abusadora,-1
abusadoras,-1
abusadores,-1
abusados,-1
abusai,-1
abusais,-1
abusam,-1
abusámo,-1
abusamo,-1
abusámos,-1
abusamos,-1
abusando,-1
abusar,-1
abusará,-1
abusara,-1
abusaram,-1
abusáramo,-1
abusáramos,-1
abusarão,-1
abusarás,-1
abusaras,-1
abusarde,-1
abusardes,-1
abusare,-1
abusarei,-1
abusárei,-1
abusareis,-1
abusáreis,-1
abusarem,-1
abusaremos,-1
abusares,-1
abusaria,-1
abusariam,-1
abusaríamos,-1
abusarias,-1
abusaríeis,-1
abusarmo,-1
abusarmos,-1
abusas,-1
abusasse,-1
abusásseis,-1
abusassem,-1
abusássemos,-1
abusasses,-1
abusaste,-1
abusastes,-1
abusava,-1
abusavam,-1
abusávamo,-1
abusávamos,-1
abusavas,-1
abusávei,-1
abusáveis,-1
abuse,-1
abusei,-1
abuseis,-1
abusem,-1
abusemo,-1
abusemos,-1
abuses,-1
abusiva,-1
abusivas,-1
abusivo,-1
abusivos,-1
abuso,-1
abusou,-1
acabada,-1
acabadas,-1
acabado,-1
acabados,-1
acabadota,-1
acabadotas,-1
acabadote,-1
acabadotes,-1
acabrunhada,-1
acabrunhadas,-1
acabrunhado,-1
acabrunhados,-1
acaciana,-1
acacianas,-1
acaciano,-1
acacianos,-1
acadêmica,0
acadêmicas,0
acadêmico,0
acadêmicos,0
acalorada,0
acaloradas,0
acalorado,0
acalorados,0
açambarcador,-1
açambarcadora,-1
açambarcadoras,-1
açambarcadores,-1
acanha,-1
acanhá,-1
acanhada,-1
acanhadas,-1
acanhado,-1
acanhados,-1
acanhai,-1
acanhais,-1
acanham,-1
acanhamento,-1
acanhámo,-1
acanhamo,-1
acanhámos,-1
acanhamos,-1
acanhando,-1
acanhar,-1
acanhará,-1
acanhara,-1
acanharam,-1
acanháramo,-1
acanháramos,-1
acanharão,-1
acanharás,-1
acanharas,-1
acanharde,-1
acanhardes,-1
acanhare,-1
acanharei,-1
acanhárei,-1
acanhareis,-1
acanháreis,-1
acanharem,-1
acanharemos,-1
acanhares,-1
acanharia,-1
acanhariam,-1
acanharíamos,-1
acanharias,-1
acanharíeis,-1
acanharmo,-1
acanharmos,-1
acanhas,-1
acanhasse,-1
acanhásseis,-1
acanhassem,-1
acanhássemos,-1
acanhasses,-1
acanhaste,-1
acanhastes,-1
acanhava,-1
acanhavam,-1
acanhávamo,-1
acanhávamos,-1
acanhavas,-1
acanhávei,-1
acanháveis,-1
acanhe,-1
acanhei,-1
acanheis,-1
acanhem,-1
acanhemo,-1
acanhemos,-1
acanhes,-1
acanho,-1
acanhou,-1
acatada,1
acatadas,1
acatado,1
acatador,0
acatadora,0
acatadoras,0
acatadores,0
acatados,1
acautelada,0
acauteladas,0
acautelado,0
acautelados,0
acéfala,-1
acéfalas,-1
acéfalo,-1
acéfalos,-1
aceita,0
aceitas,0
aceitáveis,1
aceitável,1
aceite,0
aceites,0
aceito,0
aceitos,0
acelerada,0
aceleradas,0
acelerado,0
acelerados,0
acentuada,0
acentuadas,0
acentuado,0
acentuados,0
acerada,-1
aceradas,-1
acerado,-1
acerados,-1
acerba,-1
acerbas,-1
acerbidade,-1
acerbo,-1
acerbos,-1
acérrima,-1
acérrimas,-1
acérrimo,-1
acérrimos,-1
acerta na mosca,1
acerta na mouche,1
acertada,1
acertadas,1
acertado na mosca,1
acertado na mouche,1
acertado,1
acertados,1
acertai na mosca,1
acertai na mouche,1
acertais na mosca,1
acertais na mouche,1
acertam na mosca,1
acertam na mouche,1
acertámos na mosca,1
acertamos na mosca,1
acertámos na mouche,1
acertamos na mouche,1
acertando na mosca,1
acertando na mouche,1
acertar na mosca,1
acertar na mouche,1
acertará na mosca,1
acertara na mosca,1
acertará na mouche,1
acertara na mouche,1
acertaram na mosca,1
acertaram na mouche,1
acertáramos na mosca,1
acertáramos na mouche,1
acertarão na mosca,1
acertarão na mouche,1
acertarás na mosca,1
acertaras na mosca,1
acertarás na mouche,1
acertaras na mouche,1
acertardes na mosca,1
acertardes na mouche,1
acertarei na mosca,1
acertarei na mouche,1
acertareis na mosca,1
acertáreis na mosca,1
acertareis na mouche,1
acertáreis na mouche,1
acertarem na mosca,1
acertarem na mouche,1
acertaremos na mosca,1
acertaremos na mouche,1
acertares na mosca,1
acertares na mouche,1
acertaria na mosca,1
acertaria na mouche,1
acertariam na mosca,1
acertariam na mouche,1
acertaríamos na mosca,1
acertaríamos na mouche,1
acertarias na mosca,1
acertarias na mouche,1
acertaríeis na mosca,1
acertaríeis na mouche,1
acertarmos na mosca,1
acertarmos na mouche,1
acertas na mosca,1
acertas na mouche,1
acertasse na mosca,1
acertasse na mouche,1
acertásseis na mosca,1
acertásseis na mouche,1
acertassem na mosca,1
acertassem na mouche,1
acertássemos na mosca,1
acertássemos na mouche,1
acertasses na mosca,1
acertasses na mouche,1
acertaste na mosca,1
acertaste na mouche,1
acertastes na mosca,1
acertastes na mouche,1
acertava na mosca,1
acertava na mouche,1
acertavam na mosca,1
acertavam na mouche,1
acertávamos na mosca,1
acertávamos na mouche,1
acertavas na mosca,1
acertavas na mouche,1
acertáveis na mosca,1
acertáveis na mouche,1
acerte na mosca,1
acerte na mouche,1
acertei na mosca,1
acertei na mouche,1
acerteis na mosca,1
acerteis na mouche,1
acertem na mosca,1
acertem na mouche,1
acertemos na mosca,1
acertemos na mouche,1
acertes na mosca,1
acertes na mouche,1
acerto na mosca,1
acerto na mouche,1
acertou na mosca,1
acertou na mouche,1
acesa,0
acesas,0
aceso,0
acesos,0
acessíveis,1
acessível,1
acha piada a,0
achacada,-1
achacadas,-1
achacado,-1
achacados,-1
achada,0
achadas,0
achado piada a,0
achado,0
achados,0
achai piada a,0
achais piada a,0
acham piada a,0
achámos piada a,0
achamos piada a,0
achando piada a,0
achar piada a,0
achará piada a,0
achara piada a,0
acharam piada a,0
acháramos piada a,0
acharão piada a,0
acharás piada a,0
acharas piada a,0
achardes piada a,0
acharei piada a,0
achareis piada a,0
acháreis piada a,0
acharem piada a,0
acharemos piada a,0
achares piada a,0
acharia piada a,0
achariam piada a,0
acharíamos piada a,0
acharias piada a,0
acharíeis piada a,0
acharmos piada a,0
achas piada a,0
achasse piada a,0
achásseis piada a,0
achassem piada a,0
achássemos piada a,0
achasses piada a,0
achaste piada a,0
achastes piada a,0
achatada,-1
achatadas,-1
achatado,-1
achatados,-1
achava piada a,0
achavam piada a,0
achávamos piada a,0
achavas piada a,0
acháveis piada a,0
ache piada a,0
achegada,1
achegadas,1
achegado,1
achegados,1
achei piada a,0
acheis piada a,0
achem piada a,0
achemos piada a,0
aches piada a,0
achincalha,-1
achincalhá,-1
achincalhado,-1
achincalhai,-1
achincalhais,-1
achincalham,-1
achincalhámo,-1
achincalhamo,-1
achincalhámos,-1
achincalhamos,-1
achincalhando,-1
achincalhar,-1
achincalhará,-1
achincalhara,-1
achincalharam,-1
achincalháramo,-1
achincalháramos,-1
achincalharão,-1
achincalharás,-1
achincalharas,-1
achincalharde,-1
achincalhardes,-1
achincalhare,-1
achincalharei,-1
achincalhárei,-1
achincalhareis,-1
achincalháreis,-1
achincalharem,-1
achincalharemos,-1
achincalhares,-1
achincalharia,-1
achincalhariam,-1
achincalharíamos,-1
achincalharias,-1
achincalharíeis,-1
achincalharmo,-1
achincalharmos,-1
achincalhas,-1
achincalhasse,-1
achincalhásseis,-1
achincalhassem,-1
achincalhássemos,-1
achincalhasses,-1
achincalhaste,-1
achincalhastes,-1
achincalhava,-1
achincalhavam,-1
achincalhávamo,-1
achincalhávamos,-1
achincalhavas,-1
achincalhávei,-1
achincalháveis,-1
achincalhe,-1
achincalhei,-1
achincalheis,-1
achincalhem,-1
achincalhemo,-1
achincalhemos,-1
achincalhes,-1
achincalho,-1
achincalhou,-1
achinesada,0
achinesadas,0
achinesado,0
achinesados,0
acho piada a,0
achou piada a,0
acidentada,-1
acidentadas,-1
acidentado,-1
acidentados,-1
aciganada,-1
aciganadas,-1
aciganado,-1
aciganados,-1
acintosa,-1
acintosas,-1
acintoso,-1
acintosos,-1
acirrada,-1
acirradas,-1
acirrado,-1
acirrados,-1
aclama,0
aclamá,0
aclamada,0
aclamadas,0
aclamado,0
aclamados,0
aclamai,0
aclamais,0
aclamam,0
aclamámo,0
aclamamo,0
aclamámos,0
aclamamos,0
aclamando,0
aclamar,0
aclamará,0
aclamara,0
aclamaram,0
aclamáramo,0
aclamáramos,0
aclamarão,0
aclamarás,0
aclamaras,0
aclamarde,0
aclamardes,0
aclamare,0
aclamarei,0
aclamárei,0
aclamareis,0
aclamáreis,0
aclamarem,0
aclamaremos,0
aclamares,0
aclamaria,0
aclamariam,0
aclamaríamos,0
aclamarias,0
aclamaríeis,0
aclamarmo,0
aclamarmos,0
aclamas,0
aclamasse,0
aclamásseis,0
aclamassem,0
aclamássemos,0
aclamasses,0
aclamaste,0
aclamastes,0
aclamava,0
aclamavam,0
aclamávamo,0
aclamávamos,0
aclamavas,0
aclamávei,0
aclamáveis,0
aclame,0
aclamei,0
aclameis,0
aclamem,0
aclamemo,0
aclamemos,0
aclames,0
aclamo,0
aclamou,0
acobarda,-1
acobardá,-1
acobardada,-1
acobardadas,-1
acobardado,-1
acobardados,-1
acobardai,-1
acobardais,-1
acobardam,-1
acobardámo,-1
acobardamo,-1
acobardámos,-1
acobardamos,-1
acobardando,-1
acobardar,-1
acobardará,-1
acobardara,-1
acobardaram,-1
acobardáramo,-1
acobardáramos,-1
acobardarão,-1
acobardarás,-1
acobardaras,-1
acobardarde,-1
acobardardes,-1
acobardare,-1
acobardarei,-1
acobardárei,-1
acobardareis,-1
acobardáreis,-1
acobardarem,-1
acobardaremos,-1
acobardares,-1
acobardaria,-1
acobardariam,-1
acobardaríamos,-1
acobardarias,-1
acobardaríeis,-1
acobardarmo,-1
acobardarmos,-1
acobardas,-1
acobardasse,-1
acobardásseis,-1
acobardassem,-1
acobardássemos,-1
acobardasses,-1
acobardaste,-1
acobardastes,-1
acobardava,-1
acobardavam,-1
acobardávamo,-1
acobardávamos,-1
acobardavas,-1
acobardávei,-1
acobardáveis,-1
acobarde,-1
acobardei,-1
acobardeis,-1
acobardem,-1
acobardemo,-1
acobardemos,-1
acobardes,-1
acobardo,-1
acobardou,-1
acobertada,-1
acobertadas,-1
acobertado,-1
acobertados,-1
acobreada,0
acobreadas,0
acobreado,0
acobreados,0
acocada,-1
acocadas,-1
acocado,-1
acocados,-1
acode,1
acodem,1
acodes,1
açoitada,-1
açoitadas,-1
açoitado,-1
açoitados,-1
acolhedor,1
acolhedora,1
acolhedoras,1
acolhedores,1
acolhida,0
acolhidas,0
acolhido,0
acolhidos,0
acomoda,-1
acomodá,-1
acomodadiça,-1
acomodadiças,-1
acomodadiço,-1
acomodadiços,-1
acomodado,-1
acomodai,-1
acomodais,-1
acomodam,-1
acomodámo,-1
acomodamo,-1
acomodámos,-1
acomodamos,-1
acomodando,-1
acomodar,-1
acomodará,-1
acomodara,-1
acomodaram,-1
acomodáramo,-1
acomodáramos,-1
acomodarão,-1
acomodarás,-1
acomodaras,-1
acomodarde,-1
acomodardes,-1
acomodare,-1
acomodarei,-1
acomodárei,-1
acomodareis,-1
acomodáreis,-1
acomodarem,-1
acomodaremos,-1
acomodares,-1
acomodaria,-1
acomodariam,-1
acomodaríamos,-1
acomodarias,-1
acomodaríeis,-1
acomodarmo,-1
acomodarmos,-1
acomodas,-1
acomodasse,-1
acomodásseis,-1
acomodassem,-1
acomodássemos,-1
acomodasses,-1
acomodaste,-1
acomodastes,-1
acomodatícia,0
acomodatícias,0
acomodatício,0
acomodatícios,0
acomodava,-1
acomodavam,-1
acomodávamo,-1
acomodávamos,-1
acomodavas,-1
acomodávei,-1
acomodáveis,-1
acomode,-1
acomodei,-1
acomodeis,-1
acomodem,-1
acomodemo,-1
acomodemos,-1
acomodes,-1
acomodo,-1
acomodou,-1
acompanhada,0
acompanhadas,0
acompanhado,0
acompanhador,0
acompanhadora,0
acompanhadoras,0
acompanhadores,0
acompanhados,0
acompanhante,0
acompanhantes,0
aconchegada,1
aconchegadas,1
aconchegado,1
aconchegados,1
acorda com o rabo para o ar,-1
acorda com os pés de fora,-1
acordada,0
acordadas,0
acordado com o rabo para o ar,-1
acordado com os pés de fora,-1
acordado,0
acordados,0
acordai com o rabo para o ar,-1
acordai com os pés de fora,-1
acordais com o rabo para o ar,-1
acordais com os pés de fora,-1
acordam com o rabo para o ar,-1
acordam com os pés de fora,-1
acordámos com o rabo para o ar,-1
acordamos com o rabo para o ar,-1
acordámos com os pés de fora,-1
acordamos com os pés de fora,-1
acordando com o rabo para o ar,-1
acordando com os pés de fora,-1
acordar com o rabo para o ar,-1
acordar com os pés de fora,-1
acordará com o rabo para o ar,-1
acordara com o rabo para o ar,-1
acordará com os pés de fora,-1
acordara com os pés de fora,-1
acordaram com o rabo para o ar,-1
acordaram com os pés de fora,-1
acordáramos com o rabo para o ar,-1
acordáramos com os pés de fora,-1
acordarão com o rabo para o ar,-1
acordarão com os pés de fora,-1
acordarás com o rabo para o ar,-1
acordaras com o rabo para o ar,-1
acordarás com os pés de fora,-1
acordaras com os pés de fora,-1
acordardes com o rabo para o ar,-1
acordardes com os pés de fora,-1
acordarei com o rabo para o ar,-1
acordarei com os pés de fora,-1
acordareis com o rabo para o ar,-1
acordáreis com o rabo para o ar,-1
acordareis com os pés de fora,-1
acordáreis com os pés de fora,-1
acordarem com o rabo para o ar,-1
acordarem com os pés de fora,-1
acordaremos com o rabo para o ar,-1
acordaremos com os pés de fora,-1
acordares com o rabo para o ar,-1
acordares com os pés de fora,-1
acordaria com o rabo para o ar,-1
acordaria com os pés de fora,-1
acordariam com o rabo para o ar,-1
acordariam com os pés de fora,-1
acordaríamos com o rabo para o ar,-1
acordaríamos com os pés de fora,-1
acordarias com o rabo para o ar,-1
acordarias com os pés de fora,-1
acordaríeis com o rabo para o ar,-1
acordaríeis com os pés de fora,-1
acordarmos com o rabo para o ar,-1
acordarmos com os pés de fora,-1
acordas com o rabo para o ar,-1
acordas com os pés de fora,-1
acordasse com o rabo para o ar,-1
acordasse com os pés de fora,-1
acordásseis com o rabo para o ar,-1
acordásseis com os pés de fora,-1
acordassem com o rabo para o ar,-1
acordassem com os pés de fora,-1
acordássemos com o rabo para o ar,-1
acordássemos com os pés de fora,-1
acordasses com o rabo para o ar,-1
acordasses com os pés de fora,-1
acordaste com o rabo para o ar,-1
acordaste com os pés de fora,-1
acordastes com o rabo para o ar,-1
acordastes com os pés de fora,-1
acordava com o rabo para o ar,-1
acordava com os pés de fora,-1
acordavam com o rabo para o ar,-1
acordavam com os pés de fora,-1
acordávamos com o rabo para o ar,-1
acordávamos com os pés de fora,-1
acordavas com o rabo para o ar,-1
acordavas com os pés de fora,-1
acordáveis com o rabo para o ar,-1
acordáveis com os pés de fora,-1
acorde com o rabo para o ar,-1
acorde com os pés de fora,-1
acordei com o rabo para o ar,-1
acordei com os pés de fora,-1
acordeis com o rabo para o ar,-1
acordeis com os pés de fora,-1
acordem com o rabo para o ar,-1
acordem com os pés de fora,-1
acordemos com o rabo para o ar,-1
acordemos com os pés de fora,-1
acordes com o rabo para o ar,-1
acordes com os pés de fora,-1
acordo com o rabo para o ar,-1
acordo com os pés de fora,-1
acordou com o rabo para o ar,-1
acordou com os pés de fora,-1
acorrenta,-1
acorrentá,-1
acorrentada,-1
acorrentadas,-1
acorrentado,-1
acorrentados,-1
acorrentai,-1
acorrentais,-1
acorrentam,-1
acorrentámo,-1
acorrentamo,-1
acorrentámos,-1
acorrentamos,-1
acorrentando,-1
acorrentar,-1
acorrentará,-1
acorrentara,-1
acorrentaram,-1
acorrentáramo,-1
acorrentáramos,-1
acorrentarão,-1
acorrentarás,-1
acorrentaras,-1
acorrentarde,-1
acorrentardes,-1
acorrentare,-1
acorrentarei,-1
acorrentárei,-1
acorrentareis,-1
acorrentáreis,-1
